Local time,Ask,Bid,AskVolume,BidVolume
08.10.2022 00:00:15.865 GMT+0800,142.061,142.048,1.2,1.92
08.10.2022 00:00:15.966 GMT+0800,142.062,142.05,3.14,1.32
08.10.2022 00:00:16.279 GMT+0800,142.062,142.047,2.84,1.44
08.10.2022 00:00:16.330 GMT+0800,142.058,142.04600000000002,1.2,1.92
08.10.2022 00:00:16.783 GMT+0800,142.058,142.04600000000002,1.2,1.44
08.10.2022 00:00:16.884 GMT+0800,142.058,142.04600000000002,1.94,1.32
08.10.2022 00:00:16.986 GMT+0800,142.058,142.04600000000002,1.34,1.32
08.10.2022 00:00:17.088 GMT+0800,142.058,142.04500000000002,1.8,1.32
08.10.2022 00:00:17.189 GMT+0800,142.056,142.041,1.94,4.32
08.10.2022 00:00:17.291 GMT+0800,142.054,142.041,1.94,1.32
08.10.2022 00:00:17.392 GMT+0800,142.054,142.042,1.2,1.32
08.10.2022 00:00:18.073 GMT+0800,142.055,142.043,1.34,1.32
08.10.2022 00:00:18.174 GMT+0800,142.055,142.043,1.2,1.32
08.10.2022 00:00:18.327 GMT+0800,142.056,142.043,1.2,1.32
08.10.2022 00:00:18.787 GMT+0800,142.056,142.043,1.2,1.32
08.10.2022 00:00:18.889 GMT+0800,142.05700000000002,142.044,4.2,1.32
08.10.2022 00:00:18.990 GMT+0800,142.05700000000002,142.044,3.3,1.32
08.10.2022 00:00:19.142 GMT+0800,142.056,142.044,1.8,1.32
08.10.2022 00:00:19.244 GMT+0800,142.056,142.044,1.2,1.32
08.10.2022 00:00:19.345 GMT+0800,142.05700000000002,142.04600000000002,1.2,1.32
08.10.2022 00:00:19.462 GMT+0800,142.059,142.04600000000002,1.8,1.32
08.10.2022 00:00:19.563 GMT+0800,142.058,142.043,1.2,3.86
08.10.2022 00:00:19.665 GMT+0800,142.05700000000002,142.04500000000002,1.8,1.32
08.10.2022 00:00:19.941 GMT+0800,142.05700000000002,142.04500000000002,2.4,1.2
08.10.2022 00:00:19.992 GMT+0800,142.054,142.041,1.2,1.32
08.10.2022 00:00:20.094 GMT+0800,142.055,142.043,3.14,1.32
08.10.2022 00:00:20.145 GMT+0800,142.055,142.04600000000002,1.8,1.32
08.10.2022 00:00:20.196 GMT+0800,142.058,142.047,1.2,1.32
08.10.2022 00:00:20.297 GMT+0800,142.058,142.047,1.2,1.32
08.10.2022 00:00:20.399 GMT+0800,142.058,142.047,1.2,1.32
08.10.2022 00:00:20.500 GMT+0800,142.056,142.047,1.2,1.32
08.10.2022 00:00:20.708 GMT+0800,142.056,142.047,1.2,1.32
08.10.2022 00:00:20.759 GMT+0800,142.058,142.048,1.2,1.32
08.10.2022 00:00:20.978 GMT+0800,142.06,142.048,1.2,1.32
08.10.2022 00:00:21.079 GMT+0800,142.059,142.048,1.2,1.32
08.10.2022 00:00:21.195 GMT+0800,142.059,142.047,2.7,1.32
08.10.2022 00:00:21.297 GMT+0800,142.059,142.048,1.2,1.32
08.10.2022 00:00:21.413 GMT+0800,142.059,142.047,1.34,1.32
08.10.2022 00:00:21.515 GMT+0800,142.058,142.047,1.2,1.32
08.10.2022 00:00:21.841 GMT+0800,142.058,142.047,1.2,1.32
08.10.2022 00:00:21.942 GMT+0800,142.059,142.04600000000002,1.2,1.32
08.10.2022 00:00:22.165 GMT+0800,142.055,142.043,1.8,3.42
08.10.2022 00:00:22.317 GMT+0800,142.053,142.04,2.4,1.32
08.10.2022 00:00:22.419 GMT+0800,142.053,142.039,3.74,1.32
08.10.2022 00:00:22.520 GMT+0800,142.053,142.03799999999998,3.74,2.06
08.10.2022 00:00:22.622 GMT+0800,142.05200000000002,142.037,1.94,1.92
