Local time,Ask,Bid,AskVolume,BidVolume
01.10.2022 00:00:00.041 GMT+0800,141.58200000000002,141.569,2.22,1.2
01.10.2022 00:00:00.092 GMT+0800,141.583,141.569,3.72,2.7
01.10.2022 00:00:00.194 GMT+0800,141.583,141.573,2.52,1.2
01.10.2022 00:00:00.397 GMT+0800,141.583,141.573,2.96,1.2
01.10.2022 00:00:00.498 GMT+0800,141.58100000000002,141.569,1.32,1.2
01.10.2022 00:00:01.009 GMT+0800,141.58100000000002,141.569,1.32,1.2
01.10.2022 00:00:01.111 GMT+0800,141.58100000000002,141.569,1.32,1.2
01.10.2022 00:00:01.213 GMT+0800,141.58100000000002,141.569,1.32,1.2
01.10.2022 00:00:01.388 GMT+0800,141.58100000000002,141.569,1.32,1.2
01.10.2022 00:00:01.489 GMT+0800,141.58100000000002,141.569,2.82,1.2
01.10.2022 00:00:01.540 GMT+0800,141.58100000000002,141.566,1.92,4.5
01.10.2022 00:00:01.591 GMT+0800,141.58100000000002,141.56799999999998,1.32,1.2
01.10.2022 00:00:01.693 GMT+0800,141.58100000000002,141.569,1.32,1.2
01.10.2022 00:00:01.834 GMT+0800,141.58100000000002,141.569,1.32,1.2
01.10.2022 00:00:01.936 GMT+0800,141.585,141.578,2.22,1.2
01.10.2022 00:00:01.987 GMT+0800,141.586,141.576,1.44,1.2
01.10.2022 00:00:02.038 GMT+0800,141.58700000000002,141.574,1.32,1.8
01.10.2022 00:00:02.140 GMT+0800,141.589,141.57500000000002,1.62,1.2
01.10.2022 00:00:02.191 GMT+0800,141.59,141.576,1.32,1.2
01.10.2022 00:00:02.293 GMT+0800,141.59,141.579,1.32,2.24
01.10.2022 00:00:02.445 GMT+0800,141.59,141.578,2.06,1.8
01.10.2022 00:00:02.598 GMT+0800,141.591,141.58,1.44,1.2
01.10.2022 00:00:02.751 GMT+0800,141.595,141.58100000000002,1.92,1.2
01.10.2022 00:00:02.802 GMT+0800,141.59,141.578,1.92,1.8
01.10.2022 00:00:02.853 GMT+0800,141.588,141.578,1.32,1.2
01.10.2022 00:00:02.904 GMT+0800,141.588,141.57500000000002,1.92,1.2
01.10.2022 00:00:02.955 GMT+0800,141.583,141.573,1.32,2.24
01.10.2022 00:00:03.108 GMT+0800,141.584,141.569,1.92,3.9
01.10.2022 00:00:03.311 GMT+0800,141.584,141.57,1.62,1.2
01.10.2022 00:00:03.362 GMT+0800,141.583,141.57,2.52,1.2
01.10.2022 00:00:03.414 GMT+0800,141.583,141.56799999999998,2.96,1.2
01.10.2022 00:00:03.668 GMT+0800,141.58200000000002,141.567,1.92,3.14
01.10.2022 00:00:03.769 GMT+0800,141.58,141.567,1.32,1.2
01.10.2022 00:00:03.871 GMT+0800,141.58100000000002,141.56799999999998,1.32,1.2
01.10.2022 00:00:04.036 GMT+0800,141.58100000000002,141.567,1.32,2.7
01.10.2022 00:00:04.290 GMT+0800,141.58200000000002,141.569,1.92,1.8
01.10.2022 00:00:04.392 GMT+0800,141.58200000000002,141.56799999999998,1.32,1.2
01.10.2022 00:00:04.494 GMT+0800,141.58,141.567,1.32,1.2
01.10.2022 00:00:04.735 GMT+0800,141.58,141.566,1.32,1.2
01.10.2022 00:00:05.765 GMT+0800,141.58100000000002,141.566,2.52,1.8
01.10.2022 00:00:05.868 GMT+0800,141.579,141.566,1.32,1.2
01.10.2022 00:00:06.678 GMT+0800,141.58200000000002,141.569,1.92,1.2
01.10.2022 00:00:06.833 GMT+0800,141.585,141.57,3.86,1.2
01.10.2022 00:00:07.235 GMT+0800,141.58200000000002,141.569,1.32,1.2
01.10.2022 00:00:07.794 GMT+0800,141.58700000000002,141.574,1.92,1.2
01.10.2022 00:00:07.896 GMT+0800,141.588,141.573,3.19,1.2
01.10.2022 00:00:08.462 GMT+0800,141.589,141.576,1.32,1.2
01.10.2022 00:00:08.564 GMT+0800,141.588,141.574,1.32,1.8
01.10.2022 00:00:09.020 GMT+0800,141.588,141.573,2.06,1.8
01.10.2022 00:00:09.122 GMT+0800,141.58200000000002,141.571,2.06,1.2
01.10.2022 00:00:09.173 GMT+0800,141.58,141.567,1.32,1.2
